artist_name,country,Location Reason,Author Background,birth_date,death_date,birth_place,work_title,work_url,source,,tags,More info,Public Domain?,iso3,image_path,is_local
Philip de László,Hungary,,,1869-04-30,1937-11-22,Pest,Portrait of a Lady and her Daughter,https://commons.wikimedia.org/wiki/Special:FilePath/Kapnist%20Nadejda%20nee%20Stenbock-Fermor.jpg,Wiki Commons,,,,,HUN,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kapnist_Nadejda_nee_Stenbock-Fermor.jpg,false
"Pál Szinyei Merse (Hungarian, 1854-1920)",Hungary,,,,,,Mother and Children,"https://www.artic.edu/iiif/2/5f575140-664b-74a0-ebdb-69823dfd7bab/full/843,/0/default.jpg",chicago,,,,,HUN,"https://www.artic.edu/iiif/2/5f575140-664b-74a0-ebdb-69823dfd7bab/full/843,/0/default.jpg",false
,Iceland,,,,,,,https://www.flickr.com/photos/cornelluniversitylibrary/4558904682/in/photolist-W5VTDd-EGxAJC-7WRzwS-7WNj6X-bs8yMJ-7WRDYh-ccBuuf-7WNsyn-bvnFi1-aFa8SM-bF3ngD-8kzeDs-E2hkv6-7WN7HD-7WN5JV-E2RWMq-cLDu5C-dW8PSJ-gHGPof-duQQWq-gHH4bN-dkGCFp-7WRyvw-2oMVK4Y-7WN7ie-WFYtXQ-dW3qve-daC2as-7WRPpG-7WRN4J-7WRH5h-7WNtNn-7WNxEv-7WNwcF-7WNAjX-7WRP8d-7WNAgc-cZCr7L-7WN35k-7WRNBm-7WRNb3-7WRkGC-bA8y6q-7WRMPL-8n2s4u-7WNrVc-7WRAfA-7WNj4g-7WRKB7-7WRDJC,Flickr Commons,,,,,ISL,https://live.staticflickr.com/3234/4558904682_85d271074f_b.jpg,false
Amrita Sher-Gil (1913–1941),India,Indian girls (artist is Hungarian Indian),https://en.wikipedia.org/wiki/Amrita_Sher-Gil,,,,Group of Three Girls,https://commons.wikimedia.org/wiki/File:Amrita_Sher-Gil_Group_of_Three_Girls.jpg,Wiki Commons,,,https://www.wikiart.org/en/amrita-sher-gil/three-girls-1935/,Yes,IND,https://upload.wikimedia.org/wikipedia/commons/5/5f/Amrita_Sher-Gil_Group_of_Three_Girls.jpg,false
Probably by Farrukh Beg (active early 1580s–1619),India,,,,,,A Christian subject: The Madonna and Child,https://ids.si.edu/ids/deliveryService?id=FS-6985_01,smithsonian,,,,,IND,https://ids.si.edu/ids/deliveryService?id=FS-6985_01,false
Unknown,India,,,,,,"Vilaval Ragini, from a Ragamala",https://ids.si.edu/ids/deliveryService?id=FS-S2018.1.2_001crop,smithsonian,,,,,IND,https://ids.si.edu/ids/deliveryService?id=FS-S2018.1.2_001crop,false
,Indonesia,,,,,,,https://www.flickr.com/photos/nationaalarchief/4600959282/in/photolist-81z7Ub-BamgWC-BbvMvg-AeE6FX-81pr2c-2oFPFww-AeEi3p-AxAoit-Baicfu-BcxxA8-AxzpFw-AzTQQ2-AxwQsa-Aew711-BbyuGk-81sAiw-2oFRfyv-Bcuirc-ake3oG-cHnexj-AeB9z8-B9ftqm-AxwPHz-81sAoA-B9fcSh-5uxtaB-2oFPFxJ-2hGXhZC-23oYc3t-22jmZym-Fgc6MA-2hGZq1f-AeED5t-81pr5K-2oFKRJ6-cHnepu-JsbtMR-23oYczk-2oFQURM-Fgc6NN-Jsbttz-AewGjm-78HCrV-2hH252Q-Fgc2oW-66AzTR-AxsDTH-2hH1i48-2hGYHVA-2oFKRCQ,Flickr Commons,,,,,IDN,https://live.staticflickr.com/1417/4600959282_48dc8d5ea0_b.jpg,false
Mirza Abolhassan Khan Ghaffari,Iran,,,1814-01-01,1866-01-01,Kashan,The Physician Mirza Abolfazl Kāshāni visiting his patient,https://commons.wikimedia.org/wiki/Special:FilePath/Tabib%20kashani%20-%20Saniolmolk.jpg,Wiki Commons,,,,,IRN,https://upload.wikimedia.org/wikipedia/commons/a/aa/Tabib_kashani_-_Saniolmolk.jpg,false
,Iran,,,,,,,https://www.flickr.com/photos/nationalarchives/8512884088/in/album-72157632872510272,Flickr Commons,,,,,IRN,https://live.staticflickr.com/8088/8512884088_2d96a2bac1_b.jpg,false
,Iraq,,,,,,,https://www.flickr.com/photos/sdasmarchives/7304642366/in/photolist-c8ucFL-c8ur7f-CB2oPv-nQ8y8R-9V86Yn-9Z8pW9-nNbnNY-7jLZof-7jLZmW-c8ucKf-c8u4ih-c8uiqC-c8us7w-c8tRvA-vMUDRk-c8tSJj-c8tU1j-c8tRcC-c8uknf-c8uknm-c8ukg9-c8ukpL-c8uk79-c8ukg5-c8ujWj-c8uk7h-c8ujWh-c8tPHh-7jLZhs-uns77d-M5UoPS-upNu1a-u8da1f-tsLVsA-c8tNJh-H3oAnb-c8uizu-untuUq-tsX7Yv-c8ukeu-upZFJK-c8undo-c8u63q-c8u9V1-c8uqRd-c8upTS-c8u6dq-c8tV9N-c8u64f-c8u5JC,Flickr Commons,,,,,IRQ,https://live.staticflickr.com/7235/7304642366_4038d05358_b.jpg,false
