id,artist_name,author_wikilink,artist_nationality,artist_iso3,country_of_subject,subject_iso3,title,keep,nudity,image_url,work_url,location_reason,author_background,artwork_date,birth_date,death_date,birth_place,source,tags,more_info,is_local,filepath
38,Miguel Cabrera,https://en.wikipedia.org/wiki/Miguel_Cabrera_(painter),Mexican,MEX,Mexico,,"De español y mestiza, castiza.",Keep,,https://upload.wikimedia.org/wikipedia/commons/4/49/De_espa%C3%B1ol_y_mestiza%2C_castiza.jpg,"https://commons.wikimedia.org/wiki/File:De_espa%C3%B1ol_y_mestiza,_castiza.jpg","Born, died Mexico",https://en.wikipedia.org/wiki/Miguel_Cabrera_(painter),,,,,Wiki Commons,,,FALSE,images/MEX/children_artwork/De_español_y_mestiza_castiza.jpg
39,Max Liebermann,https://en.wikipedia.org/wiki/Max_Liebermann,German,DEU,Netherlands,,Amsterdamer Waisenmädchen im Garten,Keep,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Liebermann_Amsterdam_M%C3%A4dchen_im_Garten.jpg,https://commons.wikimedia.org/wiki/File:Liebermann_Amsterdam_M%C3%A4dchen_im_Garten.jpg,Artist German but painted in amsterdam,https://en.wikipedia.org/wiki/Max_Liebermann,,,,,Wiki Commons,,,FALSE,images/DEU/children_artwork/Amsterdamer_Waisenmädchen_im_Garten.jpg
40,Max Liebermann,https://en.wikipedia.org/wiki/Max_Liebermann,German,DEU,Netherlands,,Kleinkinderschule (Nursery),Keep,,https://upload.wikimedia.org/wikipedia/commons/3/36/Max_Liebermann_-_Kleinkinderschule.jpg,https://commons.wikimedia.org/wiki/File:Max_Liebermann_-_Kleinkinderschule.jpg,Germain artist working in the Netherlands,https://en.wikipedia.org/wiki/Max_Liebermann,,,,,Wiki Commons,,,FALSE,images/DEU/children_artwork/Kleinkinderschule_Nursery.jpg
41,Frances Hodgkins ,https://en.wikipedia.org/wiki/Frances_Hodgkins,New Zealanders,NZL,New Zealand,,Child in a pram,Keep,,https://upload.wikimedia.org/wikipedia/commons/6/60/Frances_Hodgkins_-_Child_in_a_pram_-_1956-20-4_-_Auckland_Art_Gallery.jpg,https://commons.wikimedia.org/wiki/File:Frances_Hodgkins_-_Child_in_a_pram_-_1956-20-4_-_Auckland_Art_Gallery.jpg,Also lived in uk/france,https://en.wikipedia.org/wiki/Frances_Hodgkins,,,,,Wiki Commons,,,FALSE,images/NZL/children_artwork/Child_in_a_pram.jpg
42,Gottfried Lindauer,https://en.wikipedia.org/wiki/Gottfried_Lindauer,Czech-New Zealanders,NZL,New Zealand,,Ana Rupene and child,Keep,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Gottfried_Lindauer_-_Ana_Rupene_and_Child_OU_PTRM_1938_35_1881.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Gottfried%20Lindauer%20-%20Ana%20Rupene%20and%20Child%20OU%20PTRM%201938%2035%201881.jpg,,,,1839-01-05,1926-06-13,Plzeň,Wiki Commons,,,FALSE,images/NZL/children_artwork/Ana_Rupene_and_child.jpg
43,Oda Krohg ,https://en.wikipedia.org/wiki/Oda_Krohg,Norwegian,NOR,Norway,,Oda krohg aftenposten ( A Subscriber to the Aftenposten ),Keep,,https://upload.wikimedia.org/wikipedia/commons/8/84/Oda_krohg_aftenposten_1887.jpg,https://commons.wikimedia.org/wiki/File:Oda_krohg_aftenposten_1887.jpg,Born and died in Norway,https://en.wikipedia.org/wiki/Oda_Krohg,,,,,Wiki Commons,,,FALSE,images/NOR/children_artwork/Oda_krohg_aftenposten_A_Subscriber_to_the_Aftenposten.jpg
44,Karimeh Abbud,https://en.wikipedia.org/wiki/Karimeh_Abbud,Palestinian,PSE,Palestine,," Bethel, Group of Children",Keep,,https://upload.wikimedia.org/wikipedia/commons/b/be/Abbud21B.png,https://commons.wikimedia.org/wiki/File:Abbud21B.png,Bethel,https://en.wikipedia.org/wiki/Karimeh_Abbud,,,,,Wiki Commons,,,FALSE,images/PSE/children_artwork/Bethel_Group_of_Children.jpg
45,Miguel Zaragoza,https://www.jstor.org/stable/29791905, Filipino,PHL,Philippines,,Juego de niños (child’s play),Keep,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Juego_de_ni%C3%B1os%2C_de_Miguel_Zaragoza_y_Aranquizna_%28Museo_del_Prado%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Juego%20de%20ni%C3%B1os%2C%20de%20Miguel%20Zaragoza%20y%20Aranquizna%20%28Museo%20del%20Prado%29.jpg,,,,1842-09-29,1923-03-05,Gapan,Wiki Commons,,,FALSE,images/PHL/children_artwork/Juego_de_niños_childs_play.jpg
46,Leon Wyczółkowski ,https://en.wikipedia.org/wiki/Leon_Wycz%C3%B3%C5%82kowski,Polish,POL,Poland,,Św Brat Alber (St. Brother Albert),Keep,,https://upload.wikimedia.org/wikipedia/commons/9/9e/%C5%9Aw_Brat_Albert_by_Leon_Wycz%C3%B3%C5%82kowski_%281901-1902%29.jpg,https://commons.wikimedia.org/wiki/File:%C5%9Aw_Brat_Albert_by_Leon_Wycz%C3%B3%C5%82kowski_(1901-1902).jpg,"Lived, died Pland",https://en.wikipedia.org/wiki/Leon_Wycz%C3%B3%C5%82kowski,,1852,1852,,Wiki Commons,,,FALSE,images/POL/children_artwork/Św_Brat_Alber_St_Brother_Albert.jpg
47,Columbano Bordalo Pinheiro,https://en.wikipedia.org/wiki/Columbano_Bordalo_Pinheiro, Portuguese ,PRT,Portugal,,Refeição interrompida (Interrupted meal),Keep,,https://upload.wikimedia.org/wikipedia/commons/5/50/Columbano_Bordalo_Pinheiro_-_Refei%C3%A7%C3%A3o_Interrompida.jpg,https://commons.wikimedia.org/wiki/File:Columbano_Bordalo_Pinheiro_-_Refei%C3%A7%C3%A3o_Interrompida.jpg,Born died Portugal,https://en.wikipedia.org/wiki/Columbano_Bordalo_Pinheiro,,,,,Wiki Commons,,,FALSE,images/PRT/children_artwork/Refeição_interrompida_Interrupted_meal.jpg
